Vedio link,Video title,Timing Start,Timing End,Over All Label,Aspect_1,Aspect_Comp_label_1,Label_Complaint_1,timing_1,Aspect_1 Reasonings,Aspect_2,Aspect_Comp_label_2,Label_Complaint_2,timing_2,Aspect_2 Reasonings,Aspect_3,Aspect_Comp_label_3,Label_Complaint_3,timing_3,Aspect_3 Reasonings,Aspect_4,Aspect_Comp_label_4,Label_Complaint_4,timing_4,Aspect_4 Reasonings
https://youtu.be/15TVhu-IN9w?si=gihndQpa8dQGQhgR,This bank is not safe #LLAShorts 146(1),0:00,0.59,0,Transactions,0,Risk with cooperative banks,1:30,"Cooperative banks are non-scheduled and not fully regulated by RBI, increasing deposit risk",Service types,0,Different types of banks,0:10,"Explanation of commercial banks, small finance banks, payments banks, and cooperative banks",Customer service,0,Regulation by RBI,1:00,"Most banks are regulated by RBI, except many cooperative banks",Claimed benefit,0,Safer deposit recommendations,1:50,Advises against using cooperative banks due to higher risk
https://youtube.com/shorts/TOFhndkIJzM?si=fkgAtdtCsNWySnwb,UPI money request scam ,0:00,0.51,0,Customer service,0,Warning about money request scams targeting professionals like architects.,0:10,Describing how scammers pose as potential clients and initiate fraud.,Transactions,0,Illustrating the scenario where scammers send a payment request instead of a transfer.,0:30,Advising viewers not to enter their UPI PIN upon receiving unexpected payment requests.,Claimed benefit,0,Encouraging awareness and sharing of the video to prevent such scams.,0:50,Emphasizing the importance of caution and awareness in dealing with payment requests.,N/A,0,N/A,N/A,N/A
https://youtube.com/shorts/xzhoU55UTZo?si=4qEDou_5J2JVAa_Q,HDFC Bank employee doing customer signature in the Prabhadevi Mumbai Branch,0:00,0.45,1,Service types,1,Cashier fraudulently credited account,0:05,Description of fraudulent credit entries,Claimed benefit,1,Misappropriation of deposited cash,0:15,Details of misappropriation,Transactions,1,Employee fraud amount and method,0:25,Amount and method of fraud,Customer service,1,Bank response and police action,0:30,Resolution and arrest details
https://youtube.com/shorts/nwKXqQYYji4?si=OuyRPR7JDSkE9g5n,Lifetime Free credit card scam,0:00,0.27,1,Service types,1,"Some banks offer ""lifetime free"" credit cards but later introduce upgrade options with fees.",0:10,The initial offer of a lifetime free card changes with the upgrade option.,Transactions,1,Upgrading the credit card incurs joining fees and annual fees.,0:20,Users must check if the upgraded card remains lifetime free.,Claimed benefit,1,Highlighting the importance of verifying the terms of upgraded credit cards.,0:40,Encouraging users to be cautious and informed before upgrading.,Customer service,1,Advice to ensure that the upgraded card is also lifetime free.,0:50,Ensuring transparency and preventing unexpected fees.
https://youtu.be/yk-L5PcMau4?si=fzE5Eokng4Lhy0dX,Your money has not been debited You can't make this payment at the moment Contact bank the error,0:0,8.07,1,Transaction,1,your money has not been debited your bank server is busy,0.43,"your money has not been debited your payment is declined ,google pay your bank server is busy , you are unable to make this payment at the moment",Service types,0,No complaint,,no cause,,,,,,,,,,
https://youtu.be/-OEMvUWRjWM?si=mVYPydsEgsjlPsLX,"Untold Refund Rules of Unauthorized/Fraudulent UPI,ATM,POS,IMPS Transaction | As per RBI Guideline |",0:00,7.48,0,Service Types,0,No complaint,,No cause,,,,,,,,,,,,,,,
https://youtu.be/NQMViKf5sxo?si=H8p_5u4bKqMHAZov,UPI se Galat Payment Ho Jaye to Kya Kare । upi wrong transaction refund money ,0.0,6.59,1,Customer service,1,Get the refund of the wrong upi payment ,1.32,Go to NPCI website and go for the lodge a complaint for the wrong transaction ,Claimed Benifit,1,benifit of upi transaction,3.58,Customer can get refund the wrong transaction by the NPCI website to get refund from the wrong transaction that is done by the customer after verification they can get refund.,,,,,,,,,,
https://x.com/MobilePunch/status/1808704648284410363, review SERAP demands for answers from Central Bank of Nigeria,0.00,6.41,0,Claimed Benifit,0,No complaint,,No cause,,,,,,,,,,,,,,,
https://youtu.be/zou_7ZcTMVE?si=N8qTi1eMCBL6uMvB,Amazon Pay Later Disadvantages || Hidden Charges || Don't Use ?,0.0,6.36,1,Customer service,1,hidden charges of amazon pay later,1.18,"I’m complaining about Amazon Pay. They claim they don’t have their own EMI facility, so they work with other banks. But when I provided my bank details, they approved my bank limit and I activated Amazon Pay Later. Then it turned out that there were hidden EMI charges from the bank. Amazon should be upfront about the real cost of using their service.",,,,,,,,,,,,,,,
https://youtu.be/0eo68Dk7ltQ?si=5Z8A-7n4SwFfmfU1,Credit Card SCAM Exposed,0.0,5.54,1,Service types,1,Credit card reward point,2.29,When you receive call for the kyc update or the credit point offer or to update details for the account then scammers send a link through mail or the sms if you click on the message and give the details of your bank account then all the details will be sent to the scammers.,,,,,,,,,,,,,,,
